text,label,source
"  "" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr "" "" """,implicit_hate,implicit_hate
" rt : tune in today's jmt for my interview w / robert spencer on  "" the complete infidel's guide to iran ! "" "" """,implicit_hate,implicit_hate
: : hate posters ? you want hate buddy ? read the koran . goo ...,implicit_hate,implicit_hate
: hunt for white women : black racist serial killer confesses to 41 murders,implicit_hate,implicit_hate
: looks like he was a fan of the islamic jew-hate reza aslan peddles as critique of i ...,implicit_hate,implicit_hate
antiwhites hate white solidarity . their hate for white european self preservation knows no,implicit_hate,implicit_hate
are forever white racemass murderers ! ! !,implicit_hate,implicit_hate
i think white people are waking up in unprecedented numbers,implicit_hate,implicit_hate
i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race,implicit_hate,implicit_hate
its a planned growth of africans & a planned elimination of whites  #whitegenocide  #kalergi  #maga #tcot #trump #altright #sjw #buildawall,implicit_hate,implicit_hate
its ok to be white - the book,implicit_hate,implicit_hate
now it is full of jew and government infiltrators .,implicit_hate,implicit_hate
only racist if you're white  this just makes you smart .,implicit_hate,implicit_hate
prof kmac is right all along that jews have been manipulate white-euro people,implicit_hate,implicit_hate
they say they are anti-racist  but what they really are is anti-white ! via,implicit_hate,implicit_hate
"  "" : latest unhinged anti-white rant at #ferguson "" "" ugly black lesbian . #negrogeddon """,implicit_hate,implicit_hate
"  "" : new zealand : white faces will soon be a minority via "" "" """,implicit_hate,implicit_hate
"  "" optics frat "" "" - i . e .  "" "" i'm interested in being a spectacle for the anti-white media  not organizing white people into a cohesive pro-white movement . "" "" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """,implicit_hate,implicit_hate
"  "" we must have an all-white america ... in which our children and our grandchildren will play and go to school with other white children . "" "" - glr """,implicit_hate,implicit_hate
"  "" what our bros & sis experiencing in me : what is coming for us in west . must rise up and awaken . "" "" #bgun """,implicit_hate,implicit_hate
" african  "" refugee "" "" was only here nine days before raping a woman | full story : """,implicit_hate,implicit_hate
